Date,Open,High,Low,Close,Volume,Adj Close
8/8/2014,43.23,43.32,42.91,43.2,28942700,43.2
8/7/2014,42.84,43.45,42.65,43.23,30314900,43.23
8/6/2014,42.74,43.17,42.21,42.74,24634000,42.74
8/5/2014,43.31,43.46,42.83,43.08,26266400,43.08
8/4/2014,42.97,43.47,42.81,43.37,34244200,43.37
8/1/2014,43.21,43.25,42.6,42.86,31170300,42.86
7/31/2014,43.38,43.69,43.08,43.16,31537500,43.16
7/30/2014,44.07,44.1,43.29,43.58,31921400,43.58
7/29/2014,43.91,44.09,43.64,43.89,27763100,43.89
7/28/2014,44.36,44.51,43.93,43.97,29684200,43.97
7/25/2014,44.3,44.66,44.3,44.5,26701500,44.5
7/24/2014,44.93,45,44.32,44.4,30696100,44.4
7/23/2014,45.45,45.45,44.62,44.87,52362900,44.87
7/22/2014,45,45.15,44.59,44.83,43020800,44.83
7/21/2014,44.56,45.16,44.22,44.84,37583900,44.84
7/18/2014,44.65,44.84,44.25,44.69,43397400,44.69
7/17/2014,45.45,45.71,44.25,44.53,82162300,44.53
7/16/2014,42.51,44.31,42.48,44.08,63318000,44.08
7/15/2014,42.33,42.47,42.03,42.45,28748700,42.45
7/14/2014,42.22,42.45,42.04,42.14,21881100,42.14
7/11/2014,41.7,42.09,41.48,42.09,24083000,42.09
7/10/2014,41.37,42,41.05,41.69,21854700,41.69
7/9/2014,41.98,41.99,41.53,41.67,18375700,41.67
7/8/2014,41.87,42,41.61,41.78,31218200,41.78
7/7/2014,41.75,42.12,41.71,41.99,21952400,41.99
7/3/2014,41.91,41.99,41.56,41.8,15969300,41.8
7/2/2014,41.73,41.9,41.53,41.9,20208100,41.9
7/1/2014,41.86,42.15,41.69,41.87,26917000,41.87
6/30/2014,42.17,42.21,41.7,41.7,30793100,41.7
6/27/2014,41.61,42.29,41.51,42.25,74640000,42.25
6/26/2014,41.93,41.94,41.43,41.72,23604400,41.72
6/25/2014,41.7,42.05,41.46,42.03,20049100,42.03
6/24/2014,41.83,41.94,41.56,41.75,26509100,41.75
6/23/2014,41.73,42,41.69,41.99,18732000,41.99
6/20/2014,41.45,41.83,41.38,41.68,47764900,41.68
6/19/2014,41.57,41.77,41.33,41.51,19828200,41.51
6/18/2014,41.61,41.74,41.18,41.65,27097000,41.65
6/17/2014,41.29,41.91,40.34,41.68,22480500,41.68
6/16/2014,41.04,41.61,41.04,41.5,24127400,41.5
6/13/2014,41.1,41.57,40.86,41.23,26310000,41.23
6/12/2014,40.81,40.88,40.29,40.58,29818900,40.58
6/11/2014,40.93,41.07,40.77,40.86,17635400,40.86
6/10/2014,41.03,41.16,40.86,41.11,15106500,41.11
6/9/2014,41.39,41.48,41.02,41.27,15019200,41.27
6/6/2014,41.48,41.66,41.24,41.48,24043600,41.48
6/5/2014,40.59,41.25,40.4,41.21,31865200,41.21
6/4/2014,40.21,40.37,39.86,40.32,23209000,40.32
6/3/2014,40.6,40.68,40.25,40.29,18068900,40.29
6/2/2014,40.95,41.09,40.68,40.79,18504300,40.79
5/30/2014,40.45,40.97,40.25,40.94,34567600,40.94
5/29/2014,40.15,40.35,39.91,40.34,19888200,40.34
5/28/2014,40.14,40.19,39.82,40.01,25711500,40.01
5/27/2014,40.26,40.26,39.81,40.19,26160600,40.19
5/23/2014,40.37,40.37,40,40.12,18020000,40.12
